TargetCompanyKvk;Value;SchemeDescription;Dataset;Scheme;StartTimestamp;EndTimestamp;ActiveTimestamp;InactiveTimestamp;Trustlevel
14123556;101318;;Commercial;custom;;;30-7-2020 14:11;;2
14125778;101276;;Commercial;custom;;;30-7-2020 14:11;;2
14122519;101289;Vitelia klantnummer;Commercial;custom;;;30-7-2020 14:11;;2
14125954;103140;;Commercial;custom;;;30-7-2020 14:11;;2
14126220;101669;;Commercial;custom;;;30-7-2020 14:11;;2
14127933;101425;;Commercial;custom;;;30-7-2020 14:11;;2
14127919;101427;;Commercial;custom;;;30-7-2020 14:11;;2
14127903;101064;;Commercial;custom;;;30-7-2020 14:11;;2
14127885;101470;Klantnummer (overgenomen uit EDI-Circle);Commercial;custom;;;30-7-2020 14:11;;2
14127772;101347;;Commercial;custom;;;30-7-2020 14:11;;2
14127742;101405;;Commercial;custom;;;30-7-2020 14:11;;2
14127449;101232;;Commercial;custom;;;30-7-2020 14:11;;2
14127440;112067;;Commercial;custom;;;30-7-2020 14:11;;2
14127402;101303;;Commercial;custom;;;30-7-2020 14:11;;2
14127205;101052;;Commercial;custom;;;30-7-2020 14:11;;2
14126629;101117;;Commercial;custom;;;30-7-2020 14:11;;2
14126316;101363;;Commercial;custom;;;30-7-2020 14:11;;2
14125963;101032;;Commercial;custom;;;30-7-2020 14:11;;2
71751351;101096;;Commercial;custom;;;30-7-2020 14:11;;2
71308156;101369;;Commercial;custom;;;30-7-2020 14:11;;2
71898166;101018;;Commercial;custom;;;30-7-2020 14:11;;2
71308083;101309;;Commercial;custom;;;30-7-2020 14:11;;2
71295844;101246;;Commercial;custom;;;30-7-2020 14:11;;2
71293426;101008;;Commercial;custom;;;30-7-2020 14:11;;2
70960062;112020;;Commercial;custom;;;30-7-2020 14:11;;2
70612765;101142;;Commercial;custom;;;30-7-2020 14:11;;2
70563756;101294;;Commercial;custom;;;30-7-2020 14:11;;2
70527601;101075;;Commercial;custom;;;30-7-2020 14:11;;2
71306935;101247;;Commercial;custom;;;30-7-2020 14:11;;2
71915710;101313;;Commercial;custom;;;30-7-2020 14:11;;2
72902272;101189;;Commercial;custom;;;30-7-2020 14:11;;2
72741155;103193;;Commercial;custom;;;30-7-2020 14:11;;2
72467460;101420;;Commercial;custom;;;30-7-2020 14:11;;2
72284668;101078;;Commercial;custom;;;30-7-2020 14:11;;2
72051779;101410;;Commercial;custom;;;30-7-2020 14:11;;2
72049650;101409;;Commercial;custom;;;30-7-2020 14:11;;2
70468427;101073;;Commercial;custom;;;30-7-2020 14:11;;2
69943079;103255;;Commercial;custom;;;30-7-2020 14:11;;2
68399545;112280;;Commercial;custom;;;30-7-2020 14:11;;2
67990746;101257;;Commercial;custom;;;30-7-2020 14:11;;2
67464203;101356;;Commercial;custom;;;30-7-2020 14:11;;2
68575971;101385;;Commercial;custom;;;30-7-2020 14:11;;2
67436293;101151;;Commercial;custom;;;30-7-2020 14:11;;2
67319750;101029;;Commercial;custom;;;30-7-2020 14:11;;2
67315917;101039;;Commercial;custom;;;30-7-2020 14:11;;2
67116906;101045;;Commercial;custom;;;30-7-2020 14:11;;2
66944910;103128;;Commercial;custom;;;30-7-2020 14:11;;2
66808006;101214;;Commercial;custom;;;30-7-2020 14:11;;2
66745918;101587;;Commercial;custom;;;30-7-2020 14:11;;2
66745713;112267;;Commercial;custom;;;30-7-2020 14:11;;2
67328539;111990;;Commercial;custom;;;30-7-2020 14:11;;2
68752822;103230;;Commercial;custom;;;30-7-2020 14:11;;2
69058407;101077;;Commercial;custom;;;30-7-2020 14:11;;2
69943044;101353;;Commercial;custom;;;30-7-2020 14:11;;2
69899045;101022;;Commercial;custom;;;30-7-2020 14:11;;2
69893802;101209;;Commercial;custom;;;30-7-2020 14:11;;2
69853274;101256;;Commercial;custom;;;30-7-2020 14:11;;2
69686637;103143;Klantnummer (overgenomen uit EDI-Circle);Commercial;custom;;;30-7-2020 14:11;;2
69648166;103374;;Commercial;custom;;;30-7-2020 14:11;;2
69418160;101241;;Commercial;custom;;;30-7-2020 14:11;;2
69135282;101368;;Commercial;custom;;;30-7-2020 14:11;;2
69123810;101310;;Commercial;custom;;;30-7-2020 14:11;;2
69096503;101111;Klantnummer (overgenomen uit EDI-Circle);Commercial;custom;;;30-7-2020 14:11;;2
69096503;101112;Klantnummer (overgenomen uit EDI-Circle);Commercial;custom;;;30-7-2020 14:11;;2
69096503;101113;Klantnummer (overgenomen uit EDI-Circle);Commercial;custom;;;30-7-2020 14:11;;2
69064199;101076;;Commercial;custom;;;30-7-2020 14:11;;2
70334021;101250;;Commercial;custom;;;30-7-2020 14:11;;2
73038342;101278;Vitelia;Commercial;custom;;;30-7-2020 14:11;;2
12063436;101248;;Commercial;custom;;;30-7-2020 14:11;;2
12066038;101120;;Commercial;custom;;;30-7-2020 14:11;;2
12066039;101648;;Commercial;custom;;;30-7-2020 14:11;;2
09218290;101445;;Commercial;custom;;;30-7-2020 14:11;;2
09210884;101026;;Commercial;custom;;;30-7-2020 14:11;;2
12062292;101327;;Commercial;custom;;;30-7-2020 14:11;;2
09127257;101481;;Commercial;custom;;;30-7-2020 14:11;;2
